len/func	s-vec		s-unr		split-o		split-n		kara		avx2		avx2u		avx512		avx512u		
1			0.835		0.434		0.278		0.181		0.263		0.506		0.455		0.439		0.339		
2			1.145		0.698		0.365		0.252		0.335		0.730		0.670		0.586		0.468		
3			1.351		1.013		0.418		0.320		0.404		0.782		0.773		0.787		0.660		
4			1.430		1.177		0.555		0.579		0.532		1.368		0.807		0.849		0.754		
5			1.215		1.209		0.512		0.493		0.484		1.415		1.304		0.831		0.796		
6			1.203		1.052		0.454		0.454		0.422		1.200		1.200		0.807		0.756		
7			1.084		0.944		0.357		0.355		0.352		1.072		0.956		0.708		0.639		
8			1.112		1.062		0.419		0.566		0.484		1.394		0.906		1.433		0.988		
9			1.123		1.052		0.413		0.498		0.469		1.431		1.431		1.351		1.163		
10			1.116		1.024		0.405		0.476		0.445		1.347		1.347		1.347		1.099		
11			1.148		1.090		0.371		0.465		0.424		1.415		1.415		1.314		1.156		
12			1.161		1.194		0.499		0.703		0.502		1.866		1.315		1.278		1.149		
13			1.160		1.167		0.483		0.610		0.480		1.751		1.751		1.278		1.130		
14			1.156		1.200		0.491		0.564		0.532		1.667		1.670		1.261		1.110		
15			1.156		1.181		0.433		0.549		0.488		1.678		1.678		1.195		1.100		
16			1.150		1.251		0.544		0.768		0.552		2.116		1.613		2.275		1.791		
17			1.138		1.232		0.534		0.675		0.529		1.940		1.950		2.060		1.916		
18			1.087		1.185		0.491		0.615		0.541		1.786		1.879		1.951		1.736		
19			1.187		1.270		0.465		0.648		0.531		1.927		1.930		1.969		1.794		
20			1.158		1.320		0.537		0.846		0.543		2.300		1.913		1.886		1.739		
21			1.051		1.170		0.466		0.685		0.468		1.978		2.084		1.673		1.478		
22			1.080		1.227		0.489		0.707		0.480		1.957		2.052		1.679		1.475		
23			1.132		1.270		0.476		0.664		0.472		2.025		2.116		1.665		1.507		
24			1.066		1.292		0.490		0.830		0.495		2.329		1.984		2.908		2.192		
25			1.078		1.246		0.479		0.760		0.481		2.200		2.310		2.653		2.213		
26			0.990		0.979		0.511		0.773		0.508		2.430		2.595		2.513		2.458		
27			1.010		0.975		0.489		0.689		0.480		2.148		2.251		2.259		2.172		
28			1.044		1.269		0.500		0.851		0.506		2.391		2.105		2.154		1.948		
29			1.037		1.252		0.484		0.772		0.488		2.244		2.453		2.036		1.833		
30			1.047		1.264		0.494		0.744		0.499		2.172		2.405		2.044		1.799		
31			1.046		1.255		0.476		0.703		0.479		2.151		2.321		1.871		1.750		
32			1.150		1.428		0.569		0.972		0.564		2.753		3.473		3.563		3.606		
33			1.056		1.773		0.689		1.113		0.691		3.260		4.236		4.202		4.354		
34			1.158		1.419		0.549		0.856		0.550		2.509		3.343		3.188		3.184		
35			1.159		1.412		0.533		0.793		0.536		2.486		3.242		2.978		2.872		
36			1.153		1.456		0.588		1.004		0.602		2.859		3.196		2.835		2.859		
37			1.150		1.434		0.568		0.926		0.583		2.711		3.301		2.656		2.639		
38			0.973		1.712		0.695		1.058		0.688		3.119		3.865		3.025		3.034		
39			1.157		1.443		0.565		0.834		0.560		2.582		3.177		2.437		2.390		
40			1.069		1.292		0.618		1.016		0.605		3.531		3.039		4.348		4.122		
41			1.004		1.048		0.502		0.810		0.513		2.809		3.367		3.021		3.239		
42			1.045		1.731		0.695		1.092		0.692		3.220		3.932		4.149		3.602		
43			1.164		1.458		0.568		0.829		0.568		2.663		3.210		3.232		2.862		
44			1.155		1.497		0.617		0.919		0.621		3.007		3.198		3.191		2.830		
45			1.156		1.490		0.603		0.858		0.603		2.861		3.416		2.979		2.676		
46			1.152		1.475		0.597		0.824		0.594		2.810		3.360		2.837		2.588		
47			1.149		1.475		0.581		0.778		0.578		2.761		3.311		2.736		2.529		
