function: (64-bit) modular dot product
unit: all measurements in seconds
profiled: seq no-vec | seq auto-vec | seq loop-unrolled | flint | seq split | seq karatsuba | avx2 | avx2 split | avx2 karatsuba | avx512 split | avx512 karatsuba
bitsize: 60

len/func	s-novec		s-vec		s-unr		flint		split		kara		avx2		split avx2	kara avx2	split avx512	kara avx512
3960		3.020e-06	3.020e-06	2.300e-06	1.870e-06	2.050e-06	2.080e-06	4.870e-06	1.260e-06	1.470e-06	1.530e-06	1.580e-06
4110		3.320e-06	3.310e-06	2.520e-06	2.070e-06	2.220e-06	2.240e-06	5.100e-06	1.400e-06	1.620e-06	2.170e-06	2.210e-06
4260		3.260e-06	3.250e-06	2.480e-06	2.020e-06	2.200e-06	2.240e-06	5.240e-06	1.360e-06	1.570e-06	2.200e-06	2.230e-06
4410		3.360e-06	3.360e-06	2.560e-06	2.090e-06	2.300e-06	2.350e-06	5.490e-06	1.420e-06	1.650e-06	2.270e-06	2.310e-06
4560		3.480e-06	3.470e-06	2.650e-06	2.150e-06	2.350e-06	2.400e-06	5.600e-06	1.440e-06	1.690e-06	1.760e-06	1.820e-06
4710		3.590e-06	3.590e-06	2.730e-06	2.220e-06	2.450e-06	2.520e-06	5.840e-06	1.520e-06	1.760e-06	2.430e-06	2.470e-06
4860		3.720e-06	3.710e-06	2.820e-06	2.290e-06	2.510e-06	2.560e-06	5.970e-06	1.550e-06	1.800e-06	2.500e-06	2.540e-06
5010		3.830e-06	3.820e-06	2.910e-06	2.360e-06	2.600e-06	2.670e-06	6.230e-06	1.610e-06	1.860e-06	2.580e-06	2.630e-06
5160		3.950e-06	3.940e-06	3.000e-06	2.430e-06	2.660e-06	2.710e-06	6.340e-06	1.630e-06	1.900e-06	2.000e-06	2.050e-06
5310		4.050e-06	4.050e-06	3.080e-06	2.510e-06	2.770e-06	2.830e-06	6.580e-06	1.730e-06	1.980e-06	2.740e-06	2.780e-06
5460		4.170e-06	4.160e-06	3.170e-06	2.580e-06	2.820e-06	2.870e-06	6.710e-06	1.740e-06	2.010e-06	2.820e-06	2.860e-06
5610		4.440e-06	4.430e-06	3.350e-06	2.750e-06	2.920e-06	2.980e-06	6.980e-06	1.800e-06	2.090e-06	2.950e-06	2.990e-06
5760		4.400e-06	4.390e-06	3.340e-06	2.710e-06	2.980e-06	3.020e-06	7.070e-06	1.820e-06	2.120e-06	2.220e-06	2.270e-06
5910		4.510e-06	4.500e-06	3.430e-06	2.780e-06	3.070e-06	3.150e-06	7.330e-06	1.900e-06	2.200e-06	3.040e-06	3.090e-06
6060		4.620e-06	4.620e-06	3.520e-06	2.850e-06	3.120e-06	3.180e-06	7.450e-06	1.930e-06	2.230e-06	3.130e-06	3.180e-06
6210		4.740e-06	4.740e-06	3.600e-06	2.920e-06	3.230e-06	3.300e-06	7.720e-06	1.990e-06	2.310e-06	3.200e-06	3.250e-06
