function: dot product
unit: all measurements in seconds
profiled: seq no-vec | seq auto-vec | seq loop-unrolled | split-old | split-new | karatsuba | avx2 | avx2 loop-unrolled | avx512 | avx512 loop-unrolled
bitsize: 25

len/func	s-novec		s-vec		s-unr		split-o		split-n		kara		avx2		avx2u	avx512		avx512u
1		1.570e-09	1.880e-09	3.620e-09	5.650e-09	8.680e-09	5.960e-09	3.100e-09	3.450e-09	3.580e-09	4.630e-09
2		2.520e-09	2.200e-09	3.610e-09	6.900e-09	1.000e-08	7.530e-09	3.450e-09	3.760e-09	4.300e-09	5.390e-09
3		3.810e-09	2.820e-09	3.760e-09	9.110e-09	1.190e-08	9.420e-09	4.870e-09	4.930e-09	4.840e-09	5.770e-09
4		4.720e-09	3.300e-09	4.010e-09	8.500e-09	8.150e-09	8.880e-09	3.450e-09	5.850e-09	5.560e-09	6.260e-09
5		5.320e-09	4.380e-09	4.400e-09	1.040e-08	1.080e-08	1.100e-08	3.760e-09	4.080e-09	6.400e-09	6.680e-09
6		5.270e-09	4.380e-09	5.010e-09	1.160e-08	1.160e-08	1.250e-08	4.390e-09	4.390e-09	6.530e-09	6.970e-09
7		5.040e-09	4.650e-09	5.340e-09	1.410e-08	1.420e-08	1.430e-08	4.700e-09	5.270e-09	7.120e-09	7.890e-09
8		5.660e-09	5.090e-09	5.330e-09	1.350e-08	1.000e-08	1.170e-08	4.060e-09	6.250e-09	3.950e-09	5.730e-09
9		6.280e-09	5.590e-09	5.970e-09	1.520e-08	1.260e-08	1.340e-08	4.390e-09	4.390e-09	4.650e-09	5.400e-09
10		6.760e-09	6.060e-09	6.600e-09	1.670e-08	1.420e-08	1.520e-08	5.020e-09	5.020e-09	5.020e-09	6.150e-09
11		7.540e-09	6.570e-09	6.920e-09	2.030e-08	1.620e-08	1.780e-08	5.330e-09	5.330e-09	5.740e-09	6.520e-09
12		8.230e-09	7.090e-09	6.890e-09	1.650e-08	1.170e-08	1.640e-08	4.410e-09	6.260e-09	6.440e-09	7.160e-09
13		8.790e-09	7.580e-09	7.530e-09	1.820e-08	1.440e-08	1.830e-08	5.020e-09	5.020e-09	6.880e-09	7.780e-09
14		9.420e-09	8.150e-09	7.850e-09	1.920e-08	1.670e-08	1.770e-08	5.650e-09	5.640e-09	7.470e-09	8.490e-09
15		1.000e-08	8.650e-09	8.470e-09	2.310e-08	1.820e-08	2.050e-08	5.960e-09	5.960e-09	8.370e-09	9.090e-09
16		1.060e-08	9.220e-09	8.470e-09	1.950e-08	1.380e-08	1.920e-08	5.010e-09	6.570e-09	4.660e-09	5.920e-09
17		1.100e-08	9.670e-09	8.930e-09	2.060e-08	1.630e-08	2.080e-08	5.670e-09	5.640e-09	5.340e-09	5.740e-09
18		1.120e-08	1.030e-08	9.450e-09	2.280e-08	1.820e-08	2.070e-08	6.270e-09	5.960e-09	5.740e-09	6.450e-09
19		1.270e-08	1.070e-08	1.000e-08	2.730e-08	1.960e-08	2.390e-08	6.590e-09	6.580e-09	6.450e-09	7.080e-09
20		1.320e-08	1.140e-08	1.000e-08	2.460e-08	1.560e-08	2.430e-08	5.740e-09	6.900e-09	7.000e-09	7.590e-09
21		1.240e-08	1.180e-08	1.060e-08	2.660e-08	1.810e-08	2.650e-08	6.270e-09	5.950e-09	7.410e-09	8.390e-09
22		1.350e-08	1.250e-08	1.100e-08	2.760e-08	1.910e-08	2.810e-08	6.900e-09	6.580e-09	8.040e-09	9.150e-09
23		1.460e-08	1.290e-08	1.150e-08	3.070e-08	2.200e-08	3.090e-08	7.210e-09	6.900e-09	8.770e-09	9.690e-09
24		1.460e-08	1.370e-08	1.130e-08	2.980e-08	1.760e-08	2.950e-08	6.270e-09	7.360e-09	5.020e-09	6.660e-09
25		1.520e-08	1.410e-08	1.220e-08	3.170e-08	2.000e-08	3.160e-08	6.910e-09	6.580e-09	5.730e-09	6.870e-09
26		1.910e-08	1.930e-08	1.950e-08	3.740e-08	2.470e-08	3.760e-08	7.860e-09	7.360e-09	7.600e-09	7.770e-09
27		1.970e-08	1.950e-08	2.020e-08	4.030e-08	2.860e-08	4.100e-08	9.170e-09	8.750e-09	8.720e-09	9.070e-09
28		1.650e-08	1.580e-08	1.300e-08	3.300e-08	1.940e-08	3.260e-08	6.900e-09	7.840e-09	7.660e-09	8.470e-09
29		1.690e-08	1.630e-08	1.350e-08	3.490e-08	2.190e-08	3.460e-08	7.530e-09	6.890e-09	8.300e-09	9.220e-09
30		1.770e-08	1.690e-08	1.400e-08	3.580e-08	2.380e-08	3.550e-08	8.150e-09	7.360e-09	8.660e-09	9.840e-09
31		1.820e-08	1.740e-08	1.450e-08	3.820e-08	2.590e-08	3.800e-08	8.460e-09	7.840e-09	9.730e-09	1.040e-08
32		2.070e-08	1.800e-08	1.450e-08	3.640e-08	2.130e-08	3.670e-08	7.520e-09	5.960e-09	5.810e-09	5.740e-09
33		2.660e-08	2.520e-08	1.500e-08	3.860e-08	2.390e-08	3.850e-08	8.160e-09	6.280e-09	6.330e-09	6.110e-09
34		2.200e-08	1.900e-08	1.550e-08	4.010e-08	2.570e-08	4.000e-08	8.770e-09	6.580e-09	6.900e-09	6.910e-09
35		2.260e-08	1.950e-08	1.600e-08	4.240e-08	2.850e-08	4.220e-08	9.090e-09	6.970e-09	7.590e-09	7.870e-09
36		2.330e-08	2.020e-08	1.600e-08	3.960e-08	2.320e-08	3.870e-08	8.150e-09	7.290e-09	8.220e-09	8.150e-09
