len/func	s-vec		s-unr		split		kara		avx2		avx2u		
1			0.871		0.577		0.445		0.395		0.620		0.521		
2			0.839		0.687		0.415		0.361		0.683		0.410		
3			0.902		1.102		0.526		0.472		0.843		0.548		
4			0.893		1.308		0.504		0.531		1.512		0.603		
5			0.917		1.390		0.589		0.566		1.512		1.336		
6			0.928		1.000		0.441		0.425		1.152		0.966		
7			0.913		0.993		0.438		0.421		1.150		0.845		
8			0.893		1.027		0.404		0.426		1.473		0.808		
9			0.943		1.065		0.468		0.463		1.604		1.362		
10			0.925		1.049		0.432		0.438		1.553		1.278		
11			1.159		1.240		0.507		0.516		1.512		1.382		
12			1.290		1.437		0.517		0.589		2.105		1.500		
13			1.035		1.309		0.542		0.537		2.067		2.183		
14			0.907		1.018		0.434		0.446		1.625		1.692		
15			1.002		1.033		0.435		0.425		1.386		1.509		
16			0.990		1.107		0.456		0.443		1.823		1.499		
17			1.014		1.117		0.454		0.489		1.969		2.184		
18			1.002		1.082		0.424		0.464		1.772		2.006		
19			1.004		1.068		0.453		0.469		1.605		1.673		
20			1.000		1.087		0.441		0.461		2.044		1.568		
21			0.995		1.080		0.449		0.455		2.039		2.346		
22			1.000		1.076		0.452		0.472		2.024		2.282		
23			1.009		1.057		0.454		0.465		1.820		2.028		
24			1.010		1.013		0.445		0.465		2.125		1.868		
25			0.997		1.016		0.451		0.463		2.195		2.559		
26			1.017		1.062		0.461		0.470		2.097		2.274		
27			1.003		1.055		0.451		0.467		1.962		2.142		
28			1.019		1.051		0.458		0.478		2.344		2.199		
29			1.000		1.043		0.455		0.459		2.262		2.681		
30			0.990		1.060		0.454		0.473		2.271		2.419		
31			1.085		1.139		0.485		0.507		2.150		2.550		
32			1.009		1.089		0.451		0.455		2.407		3.245		
33			1.009		1.075		0.460		0.473		2.484		3.098		
34			1.000		1.083		0.457		0.472		2.237		2.677		
35			1.000		1.091		0.456		0.469		2.024		2.592		
36			0.984		1.088		0.449		0.469		2.249		2.686		
37			0.978		1.128		0.473		0.487		2.495		3.084		
38			1.013		1.353		0.567		0.571		2.865		3.397		
39			1.006		1.333		0.562		0.584		2.693		3.248		
40			0.994		1.365		0.570		0.595		3.133		3.447		
41			0.983		1.341		0.565		0.586		3.089		3.753		
42			1.000		1.346		0.545		0.579		2.796		3.199		
43			0.983		1.306		0.545		0.552		2.652		3.022		
44			1.034		1.331		0.557		0.584		3.088		3.401		
45			1.011		1.333		0.561		0.577		3.139		3.636		
46			0.989		1.308		0.542		0.568		2.913		3.275		
47			0.984		1.242		0.541		0.562		2.778		3.215		
48			0.980		1.236		0.536		0.564		3.065		3.362		
49			1.000		1.171		0.547		0.567		3.024		3.706		
