function: (??-bit) modular dot product
unit: all measurements in seconds
profiled: seq no-vec | seq auto-vec | flint | seq split | seq karatsuba | avx2 split | avx2 karatsuba | avx512 split | avx512 karatsuba
bitsize: 45

len/func	s-novec		s-vec		flint		split		kara		split avx2	kara avx2	split avx512	kara avx512
5760		3.340e-06	3.620e-06	3.470e-06	5.100e-06	5.150e-06	3.380e-06	3.260e-06	2.540e-06
5910		3.440e-06	3.720e-06	3.580e-06	5.380e-06	5.350e-06	3.600e-06	3.450e-06	3.030e-06
6060		3.510e-06	3.810e-06	3.660e-06	5.370e-06	5.370e-06	3.540e-06	3.430e-06	3.100e-06
6210		3.600e-06	3.900e-06	3.740e-06	5.770e-06	5.770e-06	3.790e-06	3.770e-06	3.180e-06
6360		3.690e-06	3.990e-06	3.840e-06	5.630e-06	5.650e-06	3.720e-06	3.600e-06	2.810e-06
6510		3.780e-06	4.090e-06	3.950e-06	5.920e-06	5.890e-06	3.960e-06	3.820e-06	3.340e-06
6660		4.000e-06	4.190e-06	4.240e-06	6.110e-06	6.110e-06	4.030e-06	3.920e-06	3.510e-06
6810		3.950e-06	4.280e-06	4.110e-06	6.310e-06	6.330e-06	4.150e-06	4.120e-06	3.490e-06
6960		4.050e-06	4.380e-06	4.200e-06	6.160e-06	6.190e-06	4.070e-06	3.940e-06	3.050e-06
7110		4.120e-06	4.470e-06	4.300e-06	6.460e-06	6.460e-06	4.340e-06	4.180e-06	3.640e-06
7260		4.210e-06	4.560e-06	4.390e-06	6.420e-06	6.420e-06	4.230e-06	4.120e-06	3.720e-06
7410		4.300e-06	4.650e-06	4.460e-06	6.860e-06	6.880e-06	4.480e-06	4.480e-06	3.780e-06
7560		4.390e-06	4.740e-06	4.560e-06	6.720e-06	6.720e-06	4.420e-06	4.270e-06	3.320e-06
7710		4.480e-06	4.840e-06	4.670e-06	7.000e-06	6.970e-06	4.710e-06	4.510e-06	3.960e-06
7860		4.560e-06	4.940e-06	4.730e-06	6.950e-06	6.980e-06	4.590e-06	4.450e-06	4.010e-06
8192		4.860e-06	5.150e-06	5.180e-06	7.360e-06	7.380e-06	4.870e-06	4.760e-06	3.650e-06
16384		9.460e-06	1.030e-05	1.030e-05	1.450e-05	1.490e-05	9.730e-06	9.470e-06	7.260e-06
32768		1.920e-05	2.060e-05	2.080e-05	2.970e-05	2.990e-05	1.950e-05	1.920e-05	1.450e-05
65536		4.090e-05	4.260e-05	4.310e-05	5.970e-05	6.010e-05	4.160e-05	4.040e-05	3.330e-05
131072		9.640e-05	9.580e-05	9.740e-05	1.220e-04	1.220e-04	9.820e-05	9.620e-05	8.960e-05
262144		1.920e-04	1.880e-04	1.950e-04	2.450e-04	2.450e-04	1.960e-04	1.910e-04	1.790e-04
524288		3.840e-04	3.830e-04	4.060e-04	5.380e-04	5.380e-04	4.000e-04	3.920e-04	3.590e-04
1048576		7.750e-04	7.850e-04	8.380e-04	1.130e-03	1.120e-03	8.180e-04	8.110e-04	7.230e-04
2097152		3.760e-03	3.860e-03	4.130e-03	4.240e-03	4.180e-03	3.920e-03	4.110e-03	3.650e-03
4194304		1.060e-02	1.040e-02	1.070e-02	1.190e-02	1.180e-02	1.080e-02	1.130e-02	1.070e-02
