function: (64-bit) modular dot product
unit: all measurements in seconds
profiled: seq no-vec | seq auto-vec | seq loop-unrolled | flint | seq split | seq karatsuba | avx2 | avx2 split | avx2 karatsuba | avx512 split | avx512 karatsuba
bitsize: 60

len/func	s-novec		s-vec		s-unr		flint		split		kara		avx2		split avx2	kara avx2	split avx512	kara avx512
3960		2.050e-06	2.040e-06	1.850e-06	1.660e-06	6.730e-07	7.970e-07	2.820e-06	7.180e-07	9.580e-07	6.640e-07	8.010e-07
4110		2.050e-06	2.090e-06	1.890e-06	1.730e-06	7.710e-07	8.400e-07	2.900e-06	7.860e-07	9.960e-07	7.740e-07	8.380e-07
4260		2.190e-06	2.200e-06	1.970e-06	1.790e-06	7.320e-07	8.570e-07	2.990e-06	7.760e-07	1.020e-06	7.270e-07	8.590e-07
4410		2.150e-06	2.150e-06	2.030e-06	1.860e-06	8.310e-07	9.020e-07	3.130e-06	8.400e-07	1.070e-06	8.340e-07	9.060e-07
4560		2.350e-06	2.350e-06	2.120e-06	1.910e-06	7.880e-07	9.160e-07	3.170e-06	8.250e-07	1.090e-06	7.650e-07	9.160e-07
4710		2.350e-06	2.360e-06	2.180e-06	1.960e-06	8.830e-07	9.580e-07	3.290e-06	8.960e-07	1.130e-06	8.850e-07	9.610e-07
4860		2.560e-06	2.490e-06	2.220e-06	2.020e-06	8.210e-07	9.690e-07	3.410e-06	8.800e-07	1.160e-06	8.190e-07	9.750e-07
5010		2.420e-06	2.420e-06	2.300e-06	2.090e-06	9.420e-07	1.020e-06	3.530e-06	9.520e-07	1.210e-06	9.410e-07	1.020e-06
5160		2.650e-06	2.660e-06	2.380e-06	2.130e-06	8.780e-07	1.030e-06	3.590e-06	9.280e-07	1.260e-06	8.620e-07	1.040e-06
5310		2.660e-06	2.650e-06	2.470e-06	2.230e-06	9.950e-07	1.070e-06	3.690e-06	1.030e-06	1.280e-06	9.980e-07	1.080e-06
5460		2.800e-06	2.820e-06	2.500e-06	2.260e-06	9.350e-07	1.090e-06	3.850e-06	9.860e-07	1.300e-06	9.190e-07	1.100e-06
5610		2.700e-06	2.740e-06	2.560e-06	2.340e-06	1.040e-06	1.170e-06	3.970e-06	1.050e-06	1.340e-06	1.040e-06	1.170e-06
5760		2.980e-06	2.960e-06	2.630e-06	2.400e-06	9.830e-07	1.150e-06	4.030e-06	1.030e-06	1.400e-06	9.660e-07	1.170e-06
5910		2.980e-06	2.980e-06	2.730e-06	2.460e-06	1.100e-06	1.190e-06	4.180e-06	1.120e-06	1.430e-06	1.110e-06	1.190e-06
6060		3.150e-06	3.100e-06	2.760e-06	2.540e-06	1.050e-06	1.210e-06	4.200e-06	1.080e-06	1.470e-06	1.020e-06	1.210e-06
6210		2.990e-06	2.990e-06	2.860e-06	2.560e-06	1.150e-06	1.260e-06	4.370e-06	1.230e-06	1.480e-06	1.160e-06	1.250e-06
6360		3.290e-06	3.270e-06	2.890e-06	2.670e-06	1.070e-06	1.260e-06	4.410e-06	1.130e-06	1.510e-06	1.050e-06	1.270e-06
6510		3.270e-06	3.340e-06	2.970e-06	2.680e-06	1.200e-06	1.300e-06	4.520e-06	1.220e-06	1.550e-06	1.240e-06	1.360e-06
6660		3.420e-06	3.410e-06	3.030e-06	2.740e-06	1.110e-06	1.320e-06	4.760e-06	1.190e-06	1.590e-06	1.110e-06	1.320e-06
6810		3.280e-06	3.270e-06	3.120e-06	2.850e-06	1.260e-06	1.380e-06	4.730e-06	1.270e-06	1.620e-06	1.260e-06	1.370e-06
6960		3.620e-06	3.570e-06	3.160e-06	2.860e-06	1.160e-06	1.380e-06	4.900e-06	1.270e-06	1.650e-06	1.150e-06	1.380e-06
7110		3.540e-06	3.580e-06	3.230e-06	2.990e-06	1.330e-06	1.420e-06	4.940e-06	1.330e-06	1.690e-06	1.330e-06	1.430e-06
7260		3.740e-06	3.720e-06	3.300e-06	2.990e-06	1.210e-06	1.430e-06	5.070e-06	1.350e-06	1.750e-06	1.210e-06	1.440e-06
7410		3.580e-06	3.620e-06	3.360e-06	3.130e-06	1.380e-06	1.500e-06	5.150e-06	1.380e-06	1.760e-06	1.370e-06	1.490e-06
7560		3.960e-06	3.880e-06	3.440e-06	3.110e-06	1.260e-06	1.490e-06	5.340e-06	1.360e-06	1.800e-06	1.260e-06	1.510e-06
7710		3.850e-06	3.880e-06	3.590e-06	3.200e-06	1.430e-06	1.560e-06	5.380e-06	1.440e-06	1.840e-06	1.440e-06	1.610e-06
7860		4.070e-06	4.030e-06	3.590e-06	3.240e-06	1.340e-06	1.630e-06	5.480e-06	1.410e-06	1.880e-06	1.310e-06	1.560e-06
8192		4.210e-06	4.290e-06	3.740e-06	3.380e-06	1.370e-06	1.620e-06	5.790e-06	1.470e-06	1.950e-06	1.360e-06	1.640e-06
16384		7.690e-06	8.480e-06	7.450e-06	6.780e-06	2.760e-06	3.250e-06	1.150e-05	2.890e-06	3.890e-06	2.760e-06	3.280e-06
32768		1.680e-05	1.680e-05	1.490e-05	1.340e-05	5.600e-06	6.640e-06	2.280e-05	5.850e-06	7.930e-06	5.460e-06	6.490e-06
65536		3.370e-05	3.450e-05	3.020e-05	2.710e-05	1.150e-05	1.320e-05	4.600e-05	1.220e-05	1.660e-05	1.140e-05	1.370e-05
131072		6.800e-05	6.720e-05	6.110e-05	5.470e-05	2.300e-05	2.670e-05	9.360e-05	2.400e-05	3.180e-05	2.240e-05	2.680e-05
262144		1.430e-04	1.370e-04	1.200e-04	1.100e-04	4.630e-05	5.320e-05	1.860e-04	4.930e-05	6.380e-05	4.470e-05	5.520e-05
524288		2.780e-04	2.680e-04	2.420e-04	2.190e-04	9.470e-05	1.070e-04	3.710e-04	9.670e-05	1.380e-04	9.040e-05	1.080e-04
1048576		5.440e-04	5.550e-04	4.890e-04	4.460e-04	2.230e-04	2.820e-04	7.450e-04	2.380e-04	2.770e-04	2.260e-04	2.830e-04
2097152		1.180e-03	1.090e-03	1.010e-03	9.170e-04	5.900e-04	5.630e-04	1.500e-03	5.840e-04	6.700e-04	5.520e-04	5.720e-04
4194304		2.720e-03	2.540e-03	2.100e-03	1.880e-03	1.490e-03	1.500e-03	3.640e-03	1.560e-03	1.460e-03	1.480e-03	1.500e-03
