function: modular butterfly fft
unit: all measurements in seconds
profiled: seq | preinverse | split-preinverse | avx2 split-preinverse
bitsize: 40

len/func	seq		preinv		split		avx2-split
91		5.590e-07	4.630e-07	1.310e-07	8.200e-08
92		5.640e-07	4.590e-07	1.310e-07	8.040e-08
93		5.690e-07	4.640e-07	1.320e-07	8.190e-08
94		5.760e-07	4.680e-07	1.340e-07	8.340e-08
95		5.820e-07	4.730e-07	1.360e-07	8.440e-08
96		5.880e-07	4.780e-07	1.360e-07	8.360e-08
97		5.940e-07	4.820e-07	1.360e-07	8.530e-08
98		6.000e-07	4.970e-07	1.410e-07	8.680e-08
99		6.060e-07	4.930e-07	1.420e-07	8.760e-08
100		6.120e-07	5.000e-07	1.380e-07	8.550e-08
101		6.180e-07	5.040e-07	1.420e-07	8.860e-08
102		6.340e-07	5.070e-07	1.450e-07	9.010e-08
103		6.310e-07	5.200e-07	1.470e-07	9.210e-08
104		6.370e-07	5.170e-07	1.470e-07	8.920e-08
105		6.430e-07	5.220e-07	1.470e-07	9.220e-08
106		6.480e-07	5.260e-07	1.510e-07	9.380e-08
107		6.640e-07	5.310e-07	1.530e-07	9.570e-08
108		6.600e-07	5.460e-07	1.510e-07	9.400e-08
109		6.670e-07	5.500e-07	1.490e-07	9.320e-08
110		6.720e-07	5.460e-07	1.570e-07	9.610e-08
111		6.790e-07	5.940e-07	3.030e-07	1.880e-07
112		1.240e-06	1.000e-06	2.850e-07	1.710e-07
113		1.250e-06	1.010e-06	3.030e-07	1.900e-07
114		1.250e-06	1.010e-06	2.990e-07	1.860e-07
115		1.270e-06	1.030e-06	3.140e-07	1.900e-07
116		1.280e-06	1.100e-06	2.980e-07	1.840e-07
117		1.290e-06	1.050e-06	3.000e-07	1.870e-07
118		1.300e-06	1.060e-06	3.080e-07	1.900e-07
119		1.310e-06	1.060e-06	3.100e-07	1.930e-07
120		1.380e-06	1.070e-06	3.090e-07	1.890e-07
121		1.330e-06	1.080e-06	3.110e-07	1.860e-07
122		1.100e-06	6.110e-07	1.740e-07	1.190e-07
123		1.240e-06	1.100e-06	3.170e-07	1.600e-07
124		1.030e-06	6.260e-07	1.730e-07	1.070e-07
125		7.630e-07	6.190e-07	1.710e-07	1.060e-07
126		7.700e-07	6.240e-07	1.790e-07	1.100e-07
127		7.850e-07	6.290e-07	1.800e-07	1.110e-07
128		7.820e-07	6.330e-07	1.800e-07	1.090e-07
129		7.970e-07	6.390e-07	1.800e-07	1.120e-07
130		7.950e-07	6.530e-07	1.850e-07	1.130e-07
131		8.010e-07	6.480e-07	1.860e-07	1.140e-07
132		8.150e-07	6.530e-07	1.840e-07	1.100e-07
133		8.130e-07	6.810e-07	1.850e-07	1.120e-07
134		1.385e-06	1.200e-06	3.340e-07	2.050e-07
135		1.480e-06	1.200e-06	3.430e-07	2.090e-07
136		1.500e-06	1.210e-06	3.340e-07	2.010e-07
137		1.510e-06	1.220e-06	3.370e-07	2.050e-07
138		1.520e-06	1.230e-06	3.450e-07	2.170e-07
139		1.530e-06	1.240e-06	3.470e-07	2.140e-07
140		1.550e-06	1.250e-06	3.440e-07	2.060e-07
141		1.550e-06	1.260e-06	3.450e-07	2.100e-07
