len/func	s-vec		s-unr		split-o		split-n		kara		avx2		avx2u		
1			0.802		0.730		0.720		0.482		0.643		0.936		0.942		
2			0.881		0.715		0.395		0.287		0.265		0.358		0.551		
3			0.854		0.940		0.432		0.333		0.374		0.577		0.572		
4			0.893		1.055		0.407		0.537		0.426		1.224		0.519		
5			0.949		1.252		0.537		0.622		0.520		1.383		1.311		
6			0.890		0.922		0.409		0.458		0.387		1.009		1.031		
7			0.909		0.957		0.422		0.463		0.394		0.885		0.971		
8			0.997		1.117		0.444		0.709		0.463		1.612		0.900		
9			0.945		1.082		0.460		0.669		0.459		1.605		1.605		
10			0.973		1.074		0.443		0.648		0.445		1.585		1.529		
11			0.960		1.023		0.413		0.608		0.427		1.496		1.230		
12			0.848		1.079		0.418		0.750		0.435		1.820		1.145		
13			0.802		1.054		0.427		0.728		0.431		1.754		1.754		
14			0.798		1.037		0.438		0.714		0.446		1.721		1.715		
15			1.185		1.194		0.510		0.826		0.527		1.690		1.877		
16			0.984		1.080		0.436		0.839		0.454		2.092		1.524		
17			1.018		1.089		0.459		0.839		0.466		2.027		2.103		
18			1.002		1.082		0.450		0.755		0.463		1.969		2.026		
19			1.003		1.062		0.451		0.773		0.466		1.643		1.874		
20			1.017		1.111		0.447		0.867		0.436		2.076		1.878		
21			1.001		1.061		0.445		0.821		0.453		2.176		2.337		
22			1.013		1.081		0.456		0.770		0.473		1.923		2.301		
23			1.015		1.044		0.455		0.770		0.468		1.648		2.201		
24			1.007		1.042		0.446		0.917		0.441		2.446		2.128		
25			1.002		1.031		0.456		0.883		0.466		2.422		2.513		
26			1.000		1.023		0.428		0.813		0.468		2.170		2.218		
27			0.993		1.053		0.451		0.811		0.466		2.083		1.643		
28			1.542		1.916		0.820		1.701		0.858		4.959		4.242		
29			1.011		1.104		0.815		1.602		0.838		4.514		4.945		
30			1.000		1.036		0.442		0.805		0.460		2.368		2.390		
31			1.000		1.050		0.440		0.791		0.455		2.199		2.350		
32			0.991		1.069		0.436		0.932		0.456		2.652		3.123		
33			1.000		0.974		0.447		0.919		0.461		2.592		2.997		
34			0.991		1.074		0.444		0.841		0.460		2.239		2.636		
35			1.017		1.090		0.450		0.840		0.465		2.228		2.553		
36			0.813		1.105		0.450		0.955		0.468		2.890		2.727		
37			0.974		1.274		0.523		1.014		0.550		3.177		3.473		
38			1.000		1.294		0.527		1.000		0.548		2.800		3.242		
39			1.026		1.303		0.534		0.988		0.552		2.775		3.064		
40			0.955		1.457		0.549		1.199		0.573		3.528		3.327		
41			0.977		1.362		0.554		1.177		0.573		3.433		3.697		
42			1.012		1.338		0.544		1.018		0.580		2.886		3.164		
43			0.989		1.284		0.523		1.006		0.534		2.726		2.976		
44			0.978		1.259		0.516		1.115		0.540		3.271		3.217		
45			0.995		1.293		0.526		1.110		0.544		3.244		3.563		
46			1.000		1.326		0.534		1.027		0.557		2.899		3.264		
47			0.984		1.227		0.514		0.984		0.533		2.759		3.041		
48			0.990		1.212		0.515		1.152		0.538		3.412		3.182		
49			0.955		1.185		0.518		1.129		0.538		3.189		3.466		
50			0.985		1.161		0.515		1.016		0.536		2.739		3.014		
51			1.000		1.127		0.528		1.025		0.547		2.760		3.054		
52			0.980		1.149		0.504		1.111		0.525		3.236		3.180		
53			1.015		1.139		0.511		1.096		0.528		3.275		3.498		
54			1.062		1.195		0.540		1.068		0.564		2.974		3.416		
55			1.077		1.190		0.541		1.047		0.561		2.961		3.368		
56			1.118		1.290		0.555		1.262		0.580		3.665		3.699		
57			1.082		1.253		0.555		1.221		0.569		3.574		3.967		
58			1.130		1.258		0.557		1.075		0.595		3.089		3.441		
59			1.094		1.271		0.545		1.114		0.584		3.001		3.342		
60			1.075		1.389		0.533		1.203		0.556		3.501		3.403		
61			1.102		1.346		0.540		1.169		0.560		3.468		3.807		
62			1.093		1.210		0.531		1.055		0.552		2.999		3.421		
63			1.095		1.264		0.535		1.058		0.555		3.020		3.414		
64			1.086		1.271		0.518		1.222		0.558		3.514		4.370		
65			1.102		1.276		0.531		1.183		0.552		3.390		4.225		
66			1.096		1.260		0.528		1.078		0.550		2.873		3.695		
67			1.079		1.227		0.514		1.036		0.524		2.840		3.543		
68			1.073		1.340		0.507		1.179		0.548		3.487		3.804		
69			1.078		1.300		0.534		1.169		0.553		3.458		4.080		
70			1.071		1.214		0.516		1.042		0.539		2.950		3.622		
71			1.078		1.190		0.517		1.004		0.550		2.958		3.548		
72			1.030		1.165		0.508		1.174		0.531		3.378		3.632		
73			1.077		1.112		0.510		1.153		0.531		3.333		4.038		
74			1.089		1.064		0.508		1.072		0.542		2.875		3.516		
75			1.107		1.224		0.514		1.055		0.536		2.871		3.416		
76			1.083		1.191		0.501		1.134		0.523		3.353		3.628		
77			1.086		1.218		0.503		1.090		0.533		3.345		3.903		
78			1.007		1.180		0.493		1.003		0.515		2.890		3.364		
79			1.081		1.209		0.498		1.007		0.518		2.864		3.379		
80			1.087		1.267		0.485		1.159		0.503		3.394		3.642		
81			1.093		1.225		0.495		1.178		0.521		3.341		3.951		
82			1.089		1.220		0.486		1.037		0.502		2.607		3.442		
83			1.062		1.222		0.487		1.023		0.512		2.826		3.370		
84			1.087		1.224		0.477		0.963		0.285		1.885		2.190		
85			1.100		1.232		0.497		1.104		0.515		3.390		3.001		
86			1.075		1.202		0.474		1.006		0.495		2.873		3.442		
87			1.064		1.174		0.472		0.994		0.498		2.856		3.398		
88			1.057		1.162		0.468		1.145		0.500		3.337		3.492		
89			1.077		1.158		0.476		1.118		0.490		3.269		3.870		
90			1.093		1.150		0.475		1.028		0.495		2.788		3.361		
91			1.065		1.160		0.467		1.000		0.478		2.763		3.337		
92			1.061		1.183		0.458		1.108		0.495		3.310		3.522		
93			1.077		1.167		0.469		1.077		0.483		3.284		3.859		
94			1.064		1.156		0.454		0.997		0.489		2.822		3.364		
95			1.058		1.186		0.471		0.991		0.486		2.797		3.308		
96			1.109		1.194		0.485		1.170		0.509		3.368		4.225		
97			1.062		1.100		0.461		1.086		0.482		3.208		3.977		
98			1.078		1.102		0.462		1.021		0.488		2.760		3.382		
99			1.074		1.048		0.462		0.997		0.479		2.652		3.333		
100			1.024		0.930		0.450		1.055		0.471		3.145		3.608		
101			1.072		1.102		0.463		1.044		0.492		3.225		3.943		
102			1.066		1.020		0.458		0.967		0.472		2.738		3.358		
103			1.029		1.180		0.451		0.949		0.463		2.682		3.248		
104			1.091		1.069		0.468		1.131		0.486		3.342		3.786		
105			1.052		1.062		0.454		1.100		0.483		3.148		3.859		
106			1.108		1.089		0.470		1.019		0.481		2.850		3.509		
107			1.045		1.045		0.453		0.979		0.470		2.706		3.315		
108			1.051		1.014		0.448		1.085		0.481		3.235		3.647		
109			1.071		1.025		0.452		1.068		0.478		3.178		3.780		
110			1.050		1.025		0.446		0.947		0.464		2.778		3.348		
111			1.070		1.137		0.449		0.936		0.476		2.768		3.351		
112			1.041		0.982		0.445		1.090		0.475		3.116		3.590		
113			1.069		1.016		0.451		1.069		0.469		3.063		3.748		
114			1.079		1.056		0.457		1.000		0.475		2.776		3.422		
115			1.060		1.081		0.443		0.949		0.470		2.676		3.288		
116			1.026		0.992		0.444		1.062		0.472		3.079		3.555		
117			1.036		1.084		0.447		1.039		0.465		2.871		3.800		
118			1.048		1.045		0.437		0.934		0.459		2.717		3.283		
119			1.064		1.090		0.440		0.955		0.466		2.728		3.287		
120			1.071		1.000		0.449		1.085		0.470		3.171		3.588		
121			1.058		1.028		0.442		1.049		0.463		3.132		3.776		
122			1.055		0.995		0.437		0.971		0.466		2.671		3.248		
123			1.049		1.102		0.439		0.942		0.455		2.572		2.964		
124			1.061		0.990		0.440		1.027		0.464		3.144		3.578		
125			1.072		1.019		0.442		1.045		0.469		3.150		3.775		
126			1.034		1.055		0.438		0.929		0.452		2.727		3.307		
127			1.058		1.122		0.437		0.918		0.463		2.712		3.254		
128			1.057		0.995		0.404		1.071		0.468		3.118		3.926		
129			1.054		1.026		0.442		1.041		0.459		3.043		3.830		
130			1.076		1.026		0.443		0.963		0.424		2.714		3.414		
131			1.051		1.128		0.435		0.925		0.461		2.628		3.265		
132			1.048		0.971		0.433		1.014		0.450		3.071		3.579		
133			1.041		1.026		0.436		1.000		0.450		2.986		3.695		
134			1.026		1.026		0.425		0.909		0.444		2.607		3.174		
135			1.090		1.196		0.440		0.940		0.463		2.678		3.271		
