╰─ ./profile_sec2_new 25 1
function: dot product
unit: all measurements in seconds
profiled: seq no-vec | seq auto-vec | seq loop-unrolled | split | karatsuba | avx2 | avx2 loop-unrolled | avx512 | avx512 loop-unrolled
bitsize: 25

len/func        s-novec         s-vec           s-unr           split           kara            avx2            avx2u   avx512          avx512u
350             1.200e-07       1.320e-07       1.040e-07       6.500e-08       7.240e-08       3.030e-08       3.020e-08       3.170e-08       3.150e-08
500             1.710e-07       1.870e-07       1.450e-07       8.630e-08       1.060e-07       3.900e-08       3.590e-08       3.850e-08       3.800e-08
650             2.170e-07       2.380e-07       1.930e-07       1.170e-07       1.280e-07       5.630e-08       5.530e-08       5.710e-08       5.720e-08
800             2.700e-07       2.940e-07       2.390e-07       1.370e-07       1.540e-07       6.280e-08       5.640e-08       5.910e-08       5.910e-08
950             3.100e-07       3.420e-07       2.770e-07       1.740e-07       1.860e-07       8.160e-08       8.120e-08       8.360e-08       8.420e-08
1100            3.660e-07       3.990e-07       3.200e-07       1.800e-07       2.180e-07       8.660e-08       7.950e-08       8.280e-08       8.340e-08
1250            4.090e-07       4.430e-07       3.570e-07       2.280e-07       2.430e-07       1.060e-07       1.060e-07       1.060e-07       1.080e-07
1400            4.720e-07       4.900e-07       4.090e-07       2.290e-07       2.720e-07       1.150e-07       1.010e-07       1.040e-07       1.020e-07
1550            5.050e-07       5.440e-07       4.480e-07       2.750e-07       3.030e-07       1.300e-07       1.320e-07       1.350e-07       1.370e-07
1700            5.440e-07       6.010e-07       4.930e-07       2.760e-07       3.290e-07       1.320e-07       1.280e-07       1.280e-07       1.300e-07
1850            6.020e-07       6.480e-07       5.390e-07       3.350e-07       3.670e-07       1.580e-07       1.570e-07       1.600e-07       1.620e-07
2000            6.590e-07       6.980e-07       5.760e-07       3.330e-07       3.820e-07       1.600e-07       1.480e-07       1.480e-07       1.480e-07
2150            7.020e-07       7.540e-07       6.230e-07       3.960e-07       4.220e-07       1.850e-07       1.920e-07       2.070e-07       2.040e-07
2300            7.630e-07       8.000e-07       6.720e-07       3.790e-07       4.470e-07       2.470e-07       2.400e-07       2.390e-07       2.420e-07
2450            8.010e-07       8.660e-07       7.170e-07       4.520e-07       4.830e-07       2.550e-07       2.620e-07       2.560e-07       2.600e-07
2600            8.710e-07       9.180e-07       7.670e-07       4.460e-07       5.030e-07       2.780e-07       2.730e-07       2.690e-07       2.650e-07
2750            9.060e-07       9.900e-07       7.920e-07       4.970e-07       5.420e-07       2.880e-07       2.860e-07       2.960e-07       2.910e-07
2900            9.490e-07       1.013e-06       8.500e-07       4.810e-07       5.620e-07       3.070e-07       3.090e-07       3.050e-07       3.120e-07
3050            1.020e-06       1.060e-06       8.970e-07       5.540e-07       6.140e-07       3.270e-07       3.320e-07       3.310e-07       3.310e-07
3200            1.100e-06       1.100e-06       9.380e-07       5.330e-07       6.180e-07       3.330e-07       3.400e-07       3.330e-07       3.400e-07
3350            1.120e-06       1.140e-06       9.800e-07       6.120e-07       6.590e-07       3.630e-07       3.490e-07       3.680e-07       3.630e-07
3500            1.160e-06       1.180e-06       1.010e-06       5.800e-07       6.820e-07       3.660e-07       3.740e-07       3.730e-07       3.660e-07
3650            1.220e-06       1.310e-06       1.050e-06       6.610e-07       7.210e-07       3.960e-07       3.870e-07       4.030e-07       3.900e-07
3800            1.270e-06       1.300e-06       1.090e-06       6.280e-07       7.400e-07       3.960e-07       4.040e-07       4.000e-07       4.080e-07
3950            1.310e-06       1.360e-06       1.140e-06       7.260e-07       7.720e-07       4.190e-07       4.240e-07       4.270e-07       4.300e-07
4100            1.410e-06       1.380e-06       1.190e-06       6.960e-07       8.060e-07       4.330e-07       4.360e-07       4.390e-07       4.400e-07
4250            1.410e-06       1.440e-06       1.220e-06       7.750e-07       8.360e-07       4.520e-07       4.500e-07       4.650e-07       4.590e-07
4400            1.450e-06       1.460e-06       1.280e-06       7.260e-07       8.490e-07       4.790e-07       4.640e-07       4.720e-07       4.630e-07
4550            1.510e-06       1.590e-06       1.370e-06       8.290e-07       8.920e-07       4.770e-07       4.870e-07       4.880e-07       4.930e-07
4700            1.550e-06       1.580e-06       1.360e-06       7.790e-07       9.110e-07       5.030e-07       4.960e-07       5.100e-07       4.990e-07
4850            1.600e-06       1.730e-06       1.400e-06       8.850e-07       9.490e-07       5.180e-07       5.110e-07       5.380e-07       5.230e-07
5000            1.720e-06       1.670e-06       1.450e-06       8.320e-07       9.580e-07       5.250e-07       5.250e-07       5.350e-07       5.210e-07
5150            1.700e-06       1.790e-06       1.490e-06       9.340e-07       1.011e-06       5.510e-07       5.430e-07       5.670e-07       5.550e-07
5300            1.810e-06       1.800e-06       1.530e-06       8.760e-07       1.010e-06       5.670e-07       5.590e-07       5.710e-07       5.690e-07
5450            1.790e-06       1.860e-06       1.560e-06       9.870e-07       1.060e-06       5.820e-07       5.750e-07       5.870e-07       5.910e-07
5600            1.870e-06       1.890e-06       1.700e-06       9.240e-07       1.080e-06       5.940e-07       5.990e-07       5.970e-07       5.870e-07
5750            1.940e-06       2.010e-06       1.660e-06       1.020e-06       1.100e-06       6.190e-07       6.140e-07       6.220e-07       6.270e-07
5900            1.930e-06       2.020e-06       1.770e-06       1.005e-06       1.130e-06       6.290e-07       6.240e-07       6.340e-07       6.270e-07
6050            1.970e-06       2.070e-06       1.770e-06       1.090e-06       1.230e-06       6.380e-07       6.410e-07       6.660e-07       6.500e-07
6200            2.090e-06       2.100e-06       1.800e-06       1.020e-06       1.190e-06       6.680e-07       6.610e-07       6.570e-07       6.500e-07
6350            2.120e-06       2.180e-06       1.830e-06       1.160e-06       1.230e-06       6.740e-07       6.740e-07       6.860e-07       6.800e-07
6500            2.130e-06       2.240e-06       1.910e-06       1.060e-06       1.250e-06       6.980e-07       6.980e-07       6.900e-07       6.930e-07
6650            2.270e-06       2.280e-06       1.930e-06       1.220e-06       1.300e-06       7.100e-07       7.130e-07       7.260e-07       7.150e-07
6800            2.300e-06       2.270e-06       1.950e-06       1.160e-06       1.300e-06       7.220e-07       7.250e-07       7.180e-07       7.130e-07
6950            2.270e-06       2.370e-06       2.040e-06       1.280e-06       1.370e-06       7.360e-07       7.300e-07       7.570e-07       7.630e-07
7100            2.330e-06       2.490e-06       2.060e-06       1.160e-06       1.360e-06       7.580e-07       7.560e-07       7.600e-07       7.480e-07
7250            2.490e-06       2.510e-06       2.080e-06       1.330e-06       1.410e-06       7.650e-07       7.680e-07       7.830e-07       7.790e-07
7400            2.430e-06       2.430e-06       2.230e-06       1.210e-06       1.420e-06       7.940e-07       7.870e-07       7.860e-07       7.710e-07
7550            2.510e-06       2.600e-06       2.170e-06       1.390e-06       1.560e-06       7.980e-07       7.930e-07       8.250e-07       8.190e-07
7700            2.550e-06       2.630e-06       2.250e-06       1.330e-06       1.480e-06       8.270e-07       8.140e-07       8.230e-07       8.180e-07
7850            2.560e-06       2.660e-06       2.290e-06       1.390e-06       1.520e-06       8.390e-07       8.310e-07       8.540e-07       8.520e-07
8000            2.620e-06       2.690e-06       2.340e-06       1.310e-06       1.560e-06       8.530e-07       8.610e-07       8.470e-07       8.430e-07
8192            2.700e-06       2.790e-06       2.430e-06       1.390e-06       1.580e-06       8.660e-07       8.600e-07       8.700e-07       8.570e-07
16384           5.300e-06       5.560e-06       4.830e-06       2.700e-06       3.110e-06       1.730e-06       1.740e-06       1.710e-06       1.740e-06
32768           1.100e-05       1.090e-05       9.540e-06       5.500e-06       6.370e-06       3.540e-06       3.450e-06       3.570e-06       3.490e-06
65536           2.180e-05       2.300e-05       1.900e-05       1.100e-05       1.270e-05       8.590e-06       8.460e-06       8.280e-06       8.290e-06
131072          4.480e-05       4.560e-05       3.860e-05       2.290e-05       2.580e-05       1.650e-05       1.630e-05       1.700e-05       1.690e-05
262144          8.890e-05       9.160e-05       7.800e-05       4.420e-05       5.220e-05       3.310e-05       3.320e-05       3.370e-05       3.280e-05
524288          1.770e-04       1.910e-04       1.560e-04       9.080e-05       1.030e-04       6.850e-05       6.670e-05       6.660e-05       6.680e-05
1048576         3.690e-04       3.920e-04       3.300e-04       2.210e-04       2.620e-04       1.960e-04       1.930e-04       1.750e-04       1.850e-04
2097152         7.690e-04       7.970e-04       7.060e-04       5.560e-04       5.490e-04       5.130e-04       5.050e-04       4.560e-04       4.810e-04
4194304         1.790e-03       1.790e-03       1.500e-03       1.540e-03       1.410e-03       1.290e-03       1.310e-03       1.290e-03       1.350e-03


***************************
*  VERSION EXPLICIT AVX2  *
***************************


╰─ ./profile_sec2_new 25 1
function: dot product
unit: all measurements in seconds
profiled: seq no-vec | seq auto-vec | seq loop-unrolled | split | karatsuba | avx2 | avx2 loop-unrolled | avx512 | avx512 loop-unrolled
bitsize: 25

len/func        s-novec         s-vec           s-unr           split           kara            avx2            avx2u   avx512          avx512u
1               1.280e-09       1.810e-09       1.990e-09       3.960e-09       2.970e-09       2.100e-09       2.300e-09       2.080e-09       2.660e-09
51              1.770e-08       2.350e-08       1.460e-08       1.400e-08       1.300e-08       6.390e-09       4.800e-09       6.850e-09       4.990e-09
101             3.680e-08       4.870e-08       2.920e-08       2.060e-08       2.380e-08       1.130e-08       7.600e-09       8.200e-09       8.330e-09
151             5.430e-08       6.690e-08       4.400e-08       3.140e-08       3.340e-08       1.680e-08       1.300e-08       1.370e-08       1.430e-08
201             7.040e-08       8.340e-08       5.950e-08       3.830e-08       4.200e-08       2.170e-08       1.480e-08       1.540e-08       1.570e-08
351             1.230e-07       1.420e-07       1.050e-07       7.190e-08       7.310e-08       4.280e-08       3.020e-08       3.210e-08       3.180e-08
501             1.750e-07       1.900e-07       1.500e-07       9.250e-08       1.016e-07       5.400e-08       3.590e-08       4.230e-08       3.760e-08
651             2.160e-07       2.410e-07       1.990e-07       1.270e-07       1.290e-07       6.460e-08       5.610e-08       5.960e-08       5.760e-08
801             2.770e-07       2.870e-07       2.360e-07       1.410e-07       1.650e-07       7.380e-08       5.810e-08       6.160e-08       6.000e-08
951             3.240e-07       3.410e-07       2.780e-07       1.810e-07       1.940e-07       9.080e-08       8.110e-08       8.450e-08       8.410e-08
1101            3.650e-07       3.860e-07       3.240e-07       1.920e-07       2.150e-07       9.860e-08       7.890e-08       8.330e-08       8.230e-08
1251            4.100e-07       4.480e-07       3.690e-07       2.340e-07       2.490e-07       1.160e-07       1.060e-07       1.110e-07       1.120e-07
1401            4.510e-07       4.990e-07       4.110e-07       2.430e-07       2.810e-07       1.230e-07       1.002e-07       1.050e-07       1.030e-07
1551            5.060e-07       5.380e-07       4.550e-07       2.820e-07       3.030e-07       1.470e-07       1.310e-07       1.340e-07       1.340e-07
1701            5.580e-07       6.010e-07       4.940e-07       2.940e-07       3.360e-07       1.460e-07       1.200e-07       1.270e-07       1.280e-07
1851            6.020e-07       6.490e-07       5.360e-07       3.350e-07       3.720e-07       1.660e-07       1.590e-07       1.660e-07       1.680e-07
2001            6.510e-07       6.840e-07       5.790e-07       3.440e-07       3.950e-07       1.700e-07       1.420e-07       1.520e-07       1.490e-07
2151            7.100e-07       7.520e-07       6.290e-07       3.970e-07       4.310e-07       2.020e-07       1.900e-07       2.080e-07       2.060e-07
2301            7.580e-07       8.050e-07       6.840e-07       4.030e-07       4.570e-07       2.450e-07       2.400e-07       2.400e-07       2.370e-07
2451            8.040e-07       8.670e-07       7.210e-07       4.550e-07       4.860e-07       2.590e-07       2.580e-07       2.580e-07       2.640e-07
2601            8.650e-07       9.080e-07       7.740e-07       4.560e-07       5.200e-07       2.760e-07       2.730e-07       2.800e-07       2.750e-07
2751            9.040e-07       9.620e-07       8.100e-07       5.040e-07       5.510e-07       2.920e-07       2.960e-07       2.970e-07       2.900e-07
2901            9.480e-07       1.010e-06       8.480e-07       5.110e-07       5.700e-07       3.050e-07       3.020e-07       3.080e-07       3.000e-07
3051            1.020e-06       1.030e-06       8.950e-07       5.660e-07       6.000e-07       3.270e-07       3.240e-07       3.320e-07       3.240e-07
3201            1.070e-06       1.110e-06       9.420e-07       5.660e-07       6.300e-07       3.380e-07       3.380e-07       3.450e-07       3.410e-07
3351            1.120e-06       1.120e-06       1.010e-06       6.170e-07       6.650e-07       3.560e-07       3.600e-07       3.650e-07       3.560e-07
3501            1.210e-06       1.200e-06       1.020e-06       6.090e-07       6.880e-07       3.750e-07       3.700e-07       3.690e-07       3.660e-07
3651            1.230e-06       1.260e-06       1.060e-06       6.780e-07       7.240e-07       3.870e-07       3.920e-07       3.960e-07       3.930e-07
3801            1.280e-06       1.250e-06       1.110e-06       6.650e-07       7.510e-07       4.000e-07       3.980e-07       4.140e-07       4.050e-07
3951            1.310e-06       1.380e-06       1.150e-06       7.270e-07       7.740e-07       4.280e-07       4.150e-07       4.370e-07       4.260e-07
4101            1.370e-06       1.470e-06       1.200e-06       7.120e-07       8.060e-07       4.360e-07       4.290e-07       4.410e-07       4.310e-07
4251            1.460e-06       1.490e-06       1.280e-06       7.790e-07       8.390e-07       4.550e-07       4.510e-07       4.590e-07       4.590e-07
4401            1.450e-06       1.470e-06       1.280e-06       7.740e-07       8.610e-07       4.660e-07       4.670e-07       4.750e-07       4.700e-07
4551            1.500e-06       1.550e-06       1.370e-06       8.250e-07       9.050e-07       4.900e-07       4.820e-07       4.930e-07       4.920e-07
4701            1.560e-06       1.570e-06       1.360e-06       8.240e-07       9.220e-07       5.010e-07       4.920e-07       5.010e-07       4.900e-07
4851            1.590e-06       1.730e-06       1.410e-06       8.850e-07       9.580e-07       5.140e-07       5.200e-07       5.290e-07       5.240e-07
5001            1.650e-06       1.750e-06       1.490e-06       8.680e-07       9.850e-07       5.310e-07       5.360e-07       5.410e-07       5.340e-07
5151            1.710e-06       1.830e-06       1.500e-06       9.380e-07       1.020e-06       5.500e-07       5.470e-07       5.630e-07       5.540e-07
5301            1.750e-06       1.820e-06       1.540e-06       9.200e-07       1.020e-06       5.690e-07       5.600e-07       5.700e-07       5.560e-07
5451            1.790e-06       1.830e-06       1.580e-06       1.010e-06       1.060e-06       5.850e-07       5.800e-07       5.910e-07       5.910e-07
5601            1.890e-06       1.890e-06       1.650e-06       1.000e-06       1.130e-06       5.940e-07       6.000e-07       6.020e-07       5.960e-07
5751            1.930e-06       1.980e-06       1.700e-06       1.040e-06       1.110e-06       6.150e-07       6.160e-07       6.220e-07       6.260e-07
5901            1.930e-06       1.940e-06       1.790e-06       1.010e-06       1.140e-06       6.320e-07       6.240e-07       6.300e-07       6.290e-07
6051            1.970e-06       2.090e-06       1.800e-06       1.080e-06       1.240e-06       6.400e-07       6.480e-07       6.610e-07       6.470e-07
6201            2.080e-06       2.100e-06       1.860e-06       1.060e-06       1.200e-06       6.680e-07       6.620e-07       6.670e-07       6.580e-07
6351            2.140e-06       2.210e-06       1.830e-06       1.140e-06       1.260e-06       6.800e-07       6.780e-07       6.910e-07       6.830e-07
6501            2.160e-06       2.200e-06       1.930e-06       1.120e-06       1.250e-06       6.960e-07       6.930e-07       6.950e-07       6.770e-07
6651            2.250e-06       2.260e-06       1.980e-06       1.160e-06       1.290e-06       7.120e-07       7.070e-07       7.260e-07       7.130e-07
6801            2.240e-06       2.310e-06       2.020e-06       1.160e-06       1.330e-06       7.220e-07       7.280e-07       7.320e-07       7.300e-07
6951            2.270e-06       2.380e-06       2.070e-06       1.340e-06       1.360e-06       7.420e-07       7.300e-07       7.550e-07       7.490e-07
7101            2.330e-06       2.460e-06       2.100e-06       1.210e-06       1.370e-06       7.720e-07       7.550e-07       7.550e-07       7.450e-07
7251            2.380e-06       2.530e-06       2.090e-06       1.300e-06       1.480e-06       7.660e-07       7.700e-07       7.870e-07       7.800e-07
7401            2.460e-06       2.510e-06       2.190e-06       1.260e-06       1.430e-06       7.970e-07       7.880e-07       7.910e-07       7.840e-07
7551            2.480e-06       2.550e-06       2.220e-06       1.410e-06       1.470e-06       8.050e-07       7.960e-07       8.190e-07       8.120e-07
7701            2.620e-06       2.610e-06       2.290e-06       1.310e-06       1.500e-06       8.230e-07       8.260e-07       8.220e-07       8.110e-07
7851            2.580e-06       2.750e-06       2.340e-06       1.400e-06       1.520e-06       8.360e-07       8.310e-07       8.510e-07       8.420e-07
8192            2.700e-06       2.810e-06       2.380e-06       1.380e-06       1.610e-06       8.690e-07       8.720e-07       8.810e-07       8.770e-07
16384           5.450e-06       5.490e-06       4.820e-06       2.760e-06       3.260e-06       1.780e-06       1.750e-06       1.730e-06       1.710e-06
32768           1.100e-05       1.170e-05       9.480e-06       5.520e-06       6.430e-06       3.410e-06       3.480e-06       3.470e-06       3.410e-06
65536           2.280e-05       2.230e-05       1.940e-05       1.150e-05       1.260e-05       8.460e-06       8.410e-06       8.390e-06       8.310e-06
131072          4.590e-05       4.530e-05       3.970e-05       2.260e-05       2.620e-05       1.660e-05       1.730e-05       1.720e-05       1.660e-05
262144          8.900e-05       9.090e-05       7.830e-05       4.550e-05       5.280e-05       3.310e-05       3.420e-05       3.310e-05       3.340e-05
524288          1.840e-04       1.820e-04       1.540e-04       9.280e-05       1.030e-04       7.030e-05       6.830e-05       6.710e-05       6.750e-05
1048576         3.790e-04       3.790e-04       3.270e-04       2.630e-04       2.400e-04       2.020e-04       1.930e-04       1.990e-04       1.780e-04
2097152         7.850e-04       7.940e-04       6.960e-04       5.880e-04       5.750e-04       5.000e-04       5.010e-04       4.800e-04       4.590e-04
4194304         1.850e-03       1.980e-03       1.580e-03       1.600e-03       1.650e-03       1.370e-03       1.390e-03       1.340e-03       1.340e-03

