╰─ ./profile_sec2_new 25 1
function: dot product
unit: all measurements in seconds
profiled: seq no-vec | seq auto-vec | seq loop-unrolled | split | karatsuba | avx2 | avx2 loop-unrolled | avx512 | avx512 loop-unrolled
bitsize: 25

len/func        s-novec         s-vec           s-unr           split           kara            avx2            avx2u   avx512          avx512u
47              1.570e-08       2.180e-08       1.340e-08       1.220e-08       1.380e-08       4.740e-09       4.610e-09       5.590e-09       5.970e-09
48              1.590e-08       2.230e-08       1.400e-08       1.070e-08       1.210e-08       4.450e-09       4.800e-09       3.780e-09       3.830e-09
49              1.720e-08       2.270e-08       1.430e-08       1.050e-08       1.220e-08       4.580e-09       4.070e-09       3.980e-09       4.080e-09
50              1.720e-08       2.360e-08       1.450e-08       1.090e-08       1.250e-08       4.780e-09       4.620e-09       4.750e-09       4.880e-09
51              1.740e-08       2.400e-08       1.500e-08       1.180e-08       1.290e-08       5.000e-09       4.850e-09       4.920e-09       4.920e-09
52              1.770e-08       2.360e-08       1.560e-08       1.270e-08       1.420e-08       4.910e-09       5.000e-09       4.600e-09       4.710e-09
53              1.920e-08       2.410e-08       1.560e-08       1.280e-08       1.440e-08       4.770e-09       4.340e-09       4.790e-09       5.060e-09
54              1.950e-08       2.520e-08       1.590e-08       1.320e-08       1.520e-08       4.950e-09       4.820e-09       5.740e-09       5.970e-09
55              1.860e-08       2.520e-08       1.630e-08       1.410e-08       1.540e-08       5.010e-09       4.990e-09       6.130e-09       6.390e-09
56              1.900e-08       2.580e-08       1.640e-08       1.200e-08       1.350e-08       4.530e-09       5.180e-09       4.460e-09       4.380e-09
57              1.960e-08       2.610e-08       1.680e-08       1.190e-08       1.350e-08       4.610e-09       4.540e-09       4.700e-09       4.590e-09
58              1.960e-08       2.670e-08       1.700e-08       1.220e-08       1.390e-08       5.290e-09       5.370e-09       5.390e-09       5.480e-09
59              2.070e-08       2.770e-08       1.710e-08       1.320e-08       1.420e-08       5.450e-09       5.580e-09       5.660e-09       5.640e-09
60              2.100e-08       2.770e-08       1.800e-08       1.400e-08       1.570e-08       5.350e-09       5.220e-09       5.050e-09       5.250e-09
