# Intel(R) Core(TM) Ultra 5 125H
# 4,5GHz

unit: all measurements in c/l
profiled: sequential | seq loop-unrolled | simd | simd loop-unrolled
bit/len	1		2		3		4		5		6		7		8		9		10		11		12		13		14		15		16		1024		65536
12	7.4|4.6|4.9|5.0	5.8|2.7|2.6|2.8	4.9|2.0|2.0|2.1	4.5|1.7|1.4|1.9	5.2|1.5|1.4|1.5	4.6|1.3|1.3|1.5	4.6|1.2|1.2|1.3	4.5|1.0|0.8|1.0	4.6|1.0|0.9|1.0	4.6|1.0|0.8|1.0	4.5|0.9|0.8|0.9	4.4|0.8|0.6|0.8	4.6|0.8|0.6|0.8	4.5|0.8|0.6|0.8	4.3|0.8|0.6|0.8	4.3|0.7|0.5|0.7	2.1|0.5|0.3|0.2	2.3|0.5|0.5|0.4
13	7.4|4.6|5.0|8.9	10.5|4.8|4.9|5.3	9.1|3.7|3.0|2.2	4.3|1.7|1.4|1.9	5.5|1.5|1.4|1.5	4.7|1.3|1.3|1.5	4.6|1.2|1.2|1.3	4.6|1.0|0.8|1.0	4.6|1.0|0.9|1.0	4.6|1.0|0.8|1.0	4.5|0.9|0.8|0.9	4.5|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.5|0.8|0.6|0.8	3.7|0.8|0.6|0.8	4.2|0.7|0.5|0.7	2.1|0.5|0.3|0.2	2.3|0.5|0.5|0.4
14	7.5|4.6|4.9|5.0	5.8|2.7|2.6|2.8	4.9|2.0|2.0|2.1	4.8|1.7|1.4|1.9	5.2|1.5|1.4|1.5	4.6|1.3|1.3|1.5	4.6|1.2|1.2|1.3	4.6|1.0|0.8|1.0	4.0|1.0|0.8|1.0	4.5|1.0|0.8|1.0	4.5|0.9|0.8|0.9	4.5|0.8|0.6|0.8	3.8|0.8|0.6|0.8	4.2|0.8|0.6|0.8	3.8|0.8|0.6|0.8	4.2|0.7|0.5|0.7	2.1|0.5|0.3|0.2	2.3|0.5|0.5|0.4
15	7.4|4.6|4.9|5.0	5.6|2.7|2.6|2.8	4.8|2.0|2.0|2.1	4.7|1.7|1.4|1.9	5.1|1.5|1.4|1.5	4.6|1.3|1.3|1.5	4.7|1.2|1.2|1.3	4.6|1.0|0.8|1.0	4.6|1.0|0.8|1.0	4.7|1.0|0.8|1.0	4.6|0.9|0.8|0.9	4.3|0.8|0.6|0.8	4.5|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.2|0.7|0.5|0.7	2.1|0.5|0.3|0.2	2.2|0.5|0.5|0.4
16	7.4|4.6|4.9|5.0	5.7|2.7|2.6|2.8	4.9|2.0|2.0|2.1	4.7|1.7|1.4|1.9	5.2|1.5|1.4|1.5	4.6|1.3|1.3|1.5	4.7|1.2|1.2|1.3	4.6|1.0|0.8|1.0	4.6|1.0|0.9|1.0	4.3|1.0|0.8|1.0	4.4|0.9|0.8|0.9	4.1|0.8|0.6|0.8	4.1|0.8|0.6|0.8	4.1|0.8|0.6|0.8	4.3|0.8|0.6|0.8	4.5|0.7|0.5|0.7	2.1|0.5|0.3|0.2	2.2|0.5|0.5|0.4
17	7.4|4.6|4.9|5.0	5.9|2.7|2.6|2.8	4.9|2.0|2.0|2.1	5.1|1.7|1.4|1.9	4.8|1.5|1.4|1.5	4.6|1.3|1.3|1.5	4.6|1.2|1.2|1.3	4.5|1.0|0.8|1.0	4.6|1.0|0.8|1.0	4.5|1.0|0.8|1.0	4.4|0.9|0.8|0.9	4.1|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.5|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.5|0.7|0.5|0.7	2.2|0.5|0.3|0.2	2.3|0.5|0.5|0.4
18	7.4|4.6|5.0|5.0	5.8|2.7|2.6|2.8	4.9|2.0|2.0|2.1	4.8|1.7|1.4|1.9	5.0|1.5|1.4|1.5	4.8|1.3|1.3|1.5	4.7|1.2|1.2|1.3	4.6|1.0|0.8|1.0	4.6|1.0|0.9|1.0	4.6|1.0|0.8|1.0	4.3|0.9|0.8|0.9	4.6|0.8|0.6|0.8	4.2|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.4|0.7|0.5|0.7	2.1|0.5|0.3|0.2	2.3|0.5|0.5|0.4
19	7.5|4.7|5.0|5.0	5.7|2.7|2.6|2.8	5.0|2.0|2.0|2.1	4.7|1.7|1.4|1.9	5.2|1.5|1.4|1.5	4.8|1.3|1.3|1.5	4.7|1.2|1.2|1.3	4.3|1.0|0.8|1.0	4.4|1.0|0.9|1.0	4.7|1.0|0.8|1.0	4.6|0.9|0.8|0.9	4.1|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.3|0.8|0.6|0.8	4.3|0.7|0.5|0.7	2.2|0.5|0.3|0.2	2.3|0.5|0.5|0.4
20	7.4|4.7|5.0|5.0	5.8|2.7|2.6|2.8	4.8|2.0|2.0|2.1	4.9|1.7|1.4|1.9	5.1|1.5|1.4|1.5	4.6|1.3|1.3|1.5	4.6|1.2|1.2|1.3	4.6|1.0|0.8|1.0	4.3|1.0|0.8|1.0	4.5|1.0|0.8|1.0	4.6|0.9|0.8|0.9	4.3|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.2|0.8|0.6|0.8	4.1|0.7|0.5|0.7	2.1|0.5|0.3|0.2	2.3|0.5|0.5|0.4
21	7.4|4.6|5.0|5.0	5.6|2.7|2.6|2.8	5.0|2.0|2.0|2.1	4.6|1.7|1.4|1.9	5.2|1.5|1.4|1.5	4.8|1.3|1.3|1.5	4.7|1.2|1.2|1.3	4.5|1.0|0.8|1.0	4.6|1.0|0.8|1.0	4.6|1.0|0.8|1.0	3.9|0.9|0.8|0.9	4.5|0.8|0.6|0.8	4.2|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.4|0.8|0.6|0.8	4.3|0.7|0.5|0.7	2.1|0.5|0.3|0.2	2.3|0.5|0.5|0.4
