len/func	s-autovec	s-unr	avx2	avx2-unr
1			0.807		0.557	0.488	0.377
2			0.876		0.673	0.575	0.447
3			0.862		0.713	0.622	0.557
4			0.721		0.571	0.765	0.541
5			1.126		0.867	1.059	0.956
6			0.809		0.659	0.788	0.721
7			0.817		0.620	0.729	0.747
8			1.808		1.447	2.115	1.431
9			2.362		1.901	2.467	2.265
10			1.737		1.471	1.870	1.724
11			1.958		1.521	1.893	1.907
12			2.227		1.844	2.838	1.983
13			3.167		2.496	3.429	3.250
14			2.551		2.225	2.967	2.978
15			2.573		2.063	2.696	2.687
16			2.426		2.014	3.213	2.303
17			2.497		2.052	2.800	2.694
18			2.605		2.277	3.147	3.147
19			2.760		2.365	3.186	3.237
20			2.751		2.362	4.048	2.988
21			2.961		2.177	3.569	3.376
22			2.590		2.085	3.375	3.462
23			2.765		2.082	2.528	3.333
24			2.712		2.224	2.712	3.212
25			2.665		2.120	2.617	3.472
26			2.661		2.144	2.813	3.565
27			2.749		2.184	2.854	3.543
28			2.946		2.483	1.822	3.848
29			1.659		1.559	2.846	1.691
30			2.965		2.403	3.201	4.128
31			2.689		2.260	2.881	4.026
32			2.880		2.387	3.081	6.335
33			2.825		2.263	3.033	4.911
34			2.852		2.371	3.216	5.073
35			2.568		2.155	2.835	4.510
36			3.389		2.819	3.638	5.273
37			3.232		2.654	3.471	5.206
38			3.033		2.543	3.510	5.710
39			2.997		2.464	3.372	5.381
40			3.212		2.589	3.493	4.988
41			3.145		2.474	3.387	5.274
42			2.909		2.446	2.366	5.398
43			2.214		2.107	3.338	2.309
44			2.659		2.500	3.364	4.688
45			2.706		2.472	3.328	4.989
46			2.641		2.411	3.358	5.287
47			2.571		2.309	3.193	5.090
48			2.596		2.418	3.309	4.872
49			2.506		2.298	3.151	4.797
50			2.511		2.390	3.329	5.085
51			2.445		2.238	3.133	4.776
52			2.595		2.422	2.352	4.714
53			2.138		2.080	2.828	2.138
54			2.304		2.117	2.835	4.757
55			2.353		2.143	2.827	4.554
56			2.248		2.269	2.747	4.712
57			2.388		2.177	2.623	4.572
58			2.296		2.102	2.650	4.517
59			2.367		2.168	2.622	4.518
60			2.266		2.111	2.855	4.411
61			2.255		2.067	2.790	4.161
62			2.243		2.098	2.685	4.607
63			2.217		2.073	2.361	4.374
64			2.268		2.082	2.886	5.786
65			2.281		1.955	2.811	4.298
66			2.164		2.031	2.756	4.371
67			2.073		1.932	2.662	3.966
68			2.190		2.038	2.822	4.641
69			2.129		1.859	2.812	4.062
70			2.116		1.978	2.844	4.354
71			2.031		1.886	2.680	3.988
72			2.102		1.964	2.737	4.403
73			2.044		2.000	2.808	4.113
74			2.050		1.952	2.767	4.136
75			2.014		1.891	2.699	3.899
76			2.163		1.986	2.355	4.458
77			2.081		1.873	2.676	2.230
78			1.986		1.856	2.705	4.063
79			1.993		1.887	2.714	3.975
80			2.196		2.034	2.858	4.676
81			1.939		1.888	2.657	3.884
82			1.952		1.840	2.260	3.889
83			2.007		1.844	2.682	2.305
84			2.028		1.884	2.655	4.275
85			1.979		1.853	2.580	3.654
86			1.922		1.816	2.643	3.885
87			1.949		1.757	2.621	3.873
88			1.974		1.828	2.292	4.174
89			1.857		1.823	2.556	2.265
90			1.894		1.784	2.607	3.779
91			1.890		1.791	2.425	3.715
92			1.930		1.782	2.568	3.855
93			1.886		1.830	2.587	3.682
94			1.851		1.757	2.321	3.716
95			1.858		1.754	2.553	2.309
96			1.920		1.799	2.545	4.929
97			1.933		1.772	2.552	3.654
98			1.806		1.717	2.508	2.273
99			1.734		1.697	2.231	3.560
100			1.833		1.743	2.492	4.013
101			1.906		1.753	2.508	3.547
102			1.825		1.731	2.569	3.691
103			1.755		1.648	2.429	3.519
104			1.795		1.766	2.322	3.976
105			1.844		1.738	2.101	2.290
106			1.701		1.675	2.481	3.560
107			1.832		1.731	2.559	3.580
108			1.858		1.726	2.482	3.953
109			1.843		1.647	2.453	3.462
110			1.744		1.643	2.446	3.491
111			1.781		1.670	2.458	3.540
112			1.788		1.594	2.414	3.824
113			1.797		1.683	2.396	3.450
114			1.714		1.575	2.417	3.446
115			1.696		1.609	2.354	3.359
116			1.788		1.662	2.425	3.815
117			1.804		1.670	2.442	3.419
118			1.708		1.608	2.288	3.466
119			1.739		1.653	2.414	2.338
120			1.773		1.600	2.416	3.822
121			1.833		1.670	2.444	3.463
122			1.705		1.561	2.312	3.458
123			1.702		1.508	2.394	2.304
124			1.745		1.486	2.403	3.734
125			1.858		1.600	2.497	3.500
126			1.665		1.446	2.302	3.422
127			1.671		1.430	2.251	2.293
128			1.739		1.599	1.858	4.402
129			1.714		1.613	1.864	3.368
130			1.655		1.536	1.846	3.368
131			1.652		1.528	1.766	3.291
132			1.679		1.387	1.825	3.771
133			1.668		1.407	1.808	3.945
134			1.668		1.398	1.909	3.126
135			1.618		1.373	1.840	3.250
136			1.761		1.506	1.929	3.932
137			1.707		1.445	1.850	3.960
138			1.607		1.395	1.867	3.213
139			1.555		1.416	1.820	3.211
140			1.669		1.435	1.891	3.729
141			1.610		1.333	1.817	3.845
142			1.547		1.352	1.859	3.143
143			1.591		1.379	1.780	3.132
144			1.568		1.386	1.888	3.759
145			1.536		1.359	1.823	3.819
146			1.513		1.368	1.921	3.202
147			1.496		1.390	1.847	3.178
